Sample_ID,Geometry_ID,D_outer,Thickness,R_bending,Material_Type,E_modulus,Poisson_Ratio,Density_tonne_per_mm3,t_over_D,R_over_D,Region,Split
22,22,19.5,0.87,72.6,Base_TC4,110000.0,0.39,4.47e-09,0.04462,3.72308,D_large_mid_safe,train
23,23,16.2,0.81,67.3,Base_TC4,110000.0,0.39,4.47e-09,0.05,4.15432,D_large_mid_safe,train
24,24,19.2,1.05,69.8,Base_TC4,110000.0,0.39,4.47e-09,0.05469,3.63542,D_large_mid_safe,train
25,25,15.6,0.94,57.8,Base_TC4,110000.0,0.39,4.47e-09,0.06026,3.70513,C_mid_safe,train
26,26,13.6,0.86,56.1,Base_TC4,110000.0,0.39,4.47e-09,0.06324,4.125,B_small_mid_moderate,train
27,27,10.3,0.95,38.0,Base_TC4,110000.0,0.39,4.47e-09,0.09223,3.68932,B_small_mid_moderate,test
28,28,12.8,0.84,55.5,Base_TC4,110000.0,0.39,4.47e-09,0.06562,4.33594,B_small_mid_moderate,train
29,29,14.8,0.85,59.0,Base_TC4,110000.0,0.39,4.47e-09,0.05743,3.98649,C_mid_safe,train
30,30,9.4,0.85,25.4,Base_TC4,110000.0,0.39,4.47e-09,0.09043,2.70213,A_small_strong,val
31,31,15.9,1.01,63.9,Base_TC4,110000.0,0.39,4.47e-09,0.06352,4.01887,C_mid_safe,train
32,32,14.8,0.75,54.2,Base_TC4,110000.0,0.39,4.47e-09,0.05068,3.66216,C_mid_safe,train
33,33,14.5,1.05,51.3,Base_TC4,110000.0,0.39,4.47e-09,0.07241,3.53793,C_mid_safe,train
34,34,14.6,0.91,63.7,Base_TC4,110000.0,0.39,4.47e-09,0.06233,4.36301,C_mid_safe,train
35,35,7.3,0.64,29.7,Base_TC4,110000.0,0.39,4.47e-09,0.08767,4.06849,A_small_strong,train
36,36,6.5,0.5,10.3,Base_TC4,110000.0,0.39,4.47e-09,0.07692,1.58462,A_small_strong,val
37,37,19.0,0.86,70.0,Base_TC4,110000.0,0.39,4.47e-09,0.04526,3.68421,D_large_mid_safe,train
38,38,9.4,0.8,32.6,Base_TC4,110000.0,0.39,4.47e-09,0.08511,3.46809,A_small_strong,train
39,39,15.8,0.73,54.6,Base_TC4,110000.0,0.39,4.47e-09,0.0462,3.4557,C_mid_safe,train
40,40,18.9,1.03,73.7,Base_TC4,110000.0,0.39,4.47e-09,0.0545,3.89947,D_large_mid_safe,test
41,41,13.7,0.75,59.1,Base_TC4,110000.0,0.39,4.47e-09,0.05474,4.31387,B_small_mid_moderate,test
42,42,10.6,0.8,34.0,Base_TC4,110000.0,0.39,4.47e-09,0.07547,3.20755,B_small_mid_moderate,train
43,43,13.3,0.76,46.4,Base_TC4,110000.0,0.39,4.47e-09,0.05714,3.48872,B_small_mid_moderate,train
44,44,18.6,0.97,83.2,Base_TC4,110000.0,0.39,4.47e-09,0.05215,4.47312,D_large_mid_safe,train
45,45,19.8,0.82,79.2,Base_TC4,110000.0,0.39,4.47e-09,0.04141,4.0,D_large_mid_safe,train
46,46,14.4,1.07,51.7,Base_TC4,110000.0,0.39,4.47e-09,0.07431,3.59028,C_mid_safe,train
47,47,9.0,0.84,36.3,Base_TC4,110000.0,0.39,4.47e-09,0.09333,4.03333,A_small_strong,train
48,48,17.2,0.91,62.3,Base_TC4,110000.0,0.39,4.47e-09,0.05291,3.62209,D_large_mid_safe,train
49,49,9.9,0.95,27.8,Base_TC4,110000.0,0.39,4.47e-09,0.09596,2.80808,A_small_strong,train
50,50,10.4,0.67,33.9,Base_TC4,110000.0,0.39,4.47e-09,0.06442,3.25962,B_small_mid_moderate,test
51,51,15.4,1.1,63.6,Base_TC4,110000.0,0.39,4.47e-09,0.07143,4.12987,C_mid_safe,val
52,52,11.2,0.55,29.8,Base_TC4,110000.0,0.39,4.47e-09,0.04911,2.66071,B_small_mid_moderate,train
53,53,17.1,1.05,74.2,Base_TC4,110000.0,0.39,4.47e-09,0.0614,4.33918,E_large_thick_weak,train
54,54,8.1,0.85,27.4,Base_TC4,110000.0,0.39,4.47e-09,0.10494,3.38272,A_small_strong,train
55,55,15.1,0.73,51.0,Base_TC4,110000.0,0.39,4.47e-09,0.04834,3.37748,C_mid_safe,train
56,56,8.7,0.57,28.1,Base_TC4,110000.0,0.39,4.47e-09,0.06552,3.22989,A_small_strong,train
57,57,6.4,0.78,9.6,Base_TC4,110000.0,0.39,4.47e-09,0.12187,1.5,A_small_strong,train
58,58,16.9,1.14,68.9,Base_TC4,110000.0,0.39,4.47e-09,0.06746,4.07692,E_large_thick_weak,train
59,59,12.4,0.73,52.3,Base_TC4,110000.0,0.39,4.47e-09,0.05887,4.21774,B_small_mid_moderate,val
60,60,15.0,1.03,61.5,Base_TC4,110000.0,0.39,4.47e-09,0.06867,4.1,C_mid_safe,train
61,61,12.1,0.96,32.7,Base_TC4,110000.0,0.39,4.47e-09,0.07934,2.70248,B_small_mid_moderate,train
62,62,9.1,0.7,28.6,Base_TC4,110000.0,0.39,4.47e-09,0.07692,3.14286,A_small_strong,train
63,63,15.6,1.07,59.5,Base_TC4,110000.0,0.39,4.47e-09,0.06859,3.8141,C_mid_safe,train
64,64,17.5,1.15,73.5,Base_TC4,110000.0,0.39,4.47e-09,0.06571,4.2,E_large_thick_weak,train
65,65,17.8,0.94,78.7,Base_TC4,110000.0,0.39,4.47e-09,0.05281,4.42135,D_large_mid_safe,val
66,66,11.0,0.91,34.5,Base_TC4,110000.0,0.39,4.47e-09,0.08273,3.13636,B_small_mid_moderate,train
67,67,7.4,0.54,15.1,Base_TC4,110000.0,0.39,4.47e-09,0.07297,2.04054,A_small_strong,train
68,68,10.1,0.61,27.6,Base_TC4,110000.0,0.39,4.47e-09,0.0604,2.73267,B_small_mid_moderate,train
69,69,16.6,1.07,72.5,Base_TC4,110000.0,0.39,4.47e-09,0.06446,4.36747,E_large_thick_weak,test
70,70,16.5,0.76,61.9,Base_TC4,110000.0,0.39,4.47e-09,0.04606,3.75152,D_large_mid_safe,train
71,71,8.8,0.9,25.0,Base_TC4,110000.0,0.39,4.47e-09,0.10227,2.84091,A_small_strong,test
72,72,18.4,1.17,78.7,Base_TC4,110000.0,0.39,4.47e-09,0.06359,4.27717,E_large_thick_weak,train
73,73,18.8,0.81,77.5,Base_TC4,110000.0,0.39,4.47e-09,0.04309,4.12234,D_large_mid_safe,train
74,74,16.7,1.0,68.4,Base_TC4,110000.0,0.39,4.47e-09,0.05988,4.09581,D_large_mid_safe,train
75,75,8.1,0.53,24.1,Base_TC4,110000.0,0.39,4.47e-09,0.06543,2.97531,A_small_strong,train
76,76,8.8,0.91,39.0,Base_TC4,110000.0,0.39,4.47e-09,0.10341,4.43182,A_small_strong,train
77,77,9.5,0.74,35.5,Base_TC4,110000.0,0.39,4.47e-09,0.07789,3.73684,A_small_strong,train
78,78,12.6,0.77,49.7,Base_TC4,110000.0,0.39,4.47e-09,0.06111,3.94444,B_small_mid_moderate,train
79,79,18.2,0.95,76.7,Base_TC4,110000.0,0.39,4.47e-09,0.0522,4.21429,D_large_mid_safe,test
80,80,14.3,0.84,51.0,Base_TC4,110000.0,0.39,4.47e-09,0.05874,3.56643,C_mid_safe,train
81,81,14.0,0.82,52.7,Base_TC4,110000.0,0.39,4.47e-09,0.05857,3.76429,C_mid_safe,test
82,82,14.5,0.96,64.2,Base_TC4,110000.0,0.39,4.47e-09,0.06621,4.42759,C_mid_safe,val
83,83,7.7,0.82,16.8,Base_TC4,110000.0,0.39,4.47e-09,0.10649,2.18182,A_small_strong,train
84,84,8.4,0.72,30.9,Base_TC4,110000.0,0.39,4.47e-09,0.08571,3.67857,A_small_strong,test
85,85,19.7,1.02,82.5,Base_TC4,110000.0,0.39,4.47e-09,0.05178,4.18782,D_large_mid_safe,train
86,86,15.5,0.99,51.0,Base_TC4,110000.0,0.39,4.47e-09,0.06387,3.29032,C_mid_safe,train
87,87,7.7,0.58,32.7,Base_TC4,110000.0,0.39,4.47e-09,0.07532,4.24675,A_small_strong,train
88,88,7.8,0.83,20.3,Base_TC4,110000.0,0.39,4.47e-09,0.10641,2.60256,A_small_strong,train
89,89,17.9,0.98,69.9,Base_TC4,110000.0,0.39,4.47e-09,0.05475,3.90503,D_large_mid_safe,train
90,90,15.1,0.88,59.2,Base_TC4,110000.0,0.39,4.47e-09,0.05828,3.92053,C_mid_safe,train
91,91,12.6,0.71,42.3,Base_TC4,110000.0,0.39,4.47e-09,0.05635,3.35714,B_small_mid_moderate,val
92,92,17.6,0.98,74.8,Base_TC4,110000.0,0.39,4.47e-09,0.05568,4.25,D_large_mid_safe,val
93,93,9.4,0.66,31.3,Base_TC4,110000.0,0.39,4.47e-09,0.07021,3.32979,A_small_strong,train
94,94,10.8,0.91,40.4,Base_TC4,110000.0,0.39,4.47e-09,0.08426,3.74074,B_small_mid_moderate,train
95,95,11.4,1.03,44.1,Base_TC4,110000.0,0.39,4.47e-09,0.09035,3.86842,B_small_mid_moderate,train
96,96,17.9,1.06,77.4,Base_TC4,110000.0,0.39,4.47e-09,0.05922,4.32402,E_large_thick_weak,train
97,97,18.3,0.9,80.4,Base_TC4,110000.0,0.39,4.47e-09,0.04918,4.39344,D_large_mid_safe,train
98,98,12.0,0.97,37.1,Base_TC4,110000.0,0.39,4.47e-09,0.08083,3.09167,B_small_mid_moderate,train
99,99,15.3,0.7,59.8,Base_TC4,110000.0,0.39,4.47e-09,0.04575,3.9085,C_mid_safe,train
100,100,10.9,0.81,28.2,Base_TC4,110000.0,0.39,4.47e-09,0.07431,2.58716,B_small_mid_moderate,train
101,101,11.6,0.55,35.3,Base_TC4,110000.0,0.39,4.47e-09,0.04741,3.0431,B_small_mid_moderate,train
102,102,11.4,0.86,33.1,Base_TC4,110000.0,0.39,4.47e-09,0.07544,2.90351,B_small_mid_moderate,train
103,103,6.6,0.66,23.4,Base_TC4,110000.0,0.39,4.47e-09,0.1,3.54545,A_small_strong,train
104,104,18.1,1.01,71.3,Base_TC4,110000.0,0.39,4.47e-09,0.0558,3.93923,D_large_mid_safe,val
105,105,7.0,0.76,29.4,Base_TC4,110000.0,0.39,4.47e-09,0.10857,4.2,A_small_strong,train
106,106,16.6,0.78,73.9,Base_TC4,110000.0,0.39,4.47e-09,0.04699,4.45181,D_large_mid_safe,train
107,107,15.3,0.9,60.0,Base_TC4,110000.0,0.39,4.47e-09,0.05882,3.92157,C_mid_safe,train
108,108,13.8,1.05,53.7,Base_TC4,110000.0,0.39,4.47e-09,0.07609,3.8913,B_small_mid_moderate,train
109,109,8.5,0.92,25.6,Base_TC4,110000.0,0.39,4.47e-09,0.10824,3.01176,A_small_strong,train
110,110,8.3,0.61,13.7,Base_TC4,110000.0,0.39,4.47e-09,0.07349,1.6506,A_small_strong,train
111,111,12.4,0.89,50.6,Base_TC4,110000.0,0.39,4.47e-09,0.07177,4.08065,B_small_mid_moderate,train
112,112,14.1,0.98,54.1,Base_TC4,110000.0,0.39,4.47e-09,0.0695,3.83688,C_mid_safe,train
113,113,13.1,0.92,37.6,Base_TC4,110000.0,0.39,4.47e-09,0.07023,2.87023,B_small_mid_moderate,val
114,114,14.7,0.77,62.6,Base_TC4,110000.0,0.39,4.47e-09,0.05238,4.2585,C_mid_safe,test
115,115,16.0,0.83,68.5,Base_TC4,110000.0,0.39,4.47e-09,0.05187,4.28125,D_large_mid_safe,train
116,116,6.5,0.68,14.8,Base_TC4,110000.0,0.39,4.47e-09,0.10462,2.27692,A_small_strong,train
117,117,6.2,0.86,11.9,Base_TC4,110000.0,0.39,4.47e-09,0.13871,1.91935,A_small_strong,train
118,118,7.1,0.61,17.5,Base_TC4,110000.0,0.39,4.47e-09,0.08592,2.46479,A_small_strong,train
119,119,7.4,0.57,12.8,Base_TC4,110000.0,0.39,4.47e-09,0.07703,1.72973,A_small_strong,test
120,120,8.0,0.7,21.5,Base_TC4,110000.0,0.39,4.47e-09,0.0875,2.6875,A_small_strong,val
121,121,19.6,1.12,87.4,Base_TC4,110000.0,0.39,4.47e-09,0.05714,4.45918,E_large_thick_weak,train
122,122,15.4,0.89,51.0,Base_TC4,110000.0,0.39,4.47e-09,0.05779,3.31169,C_mid_safe,train
123,123,17.1,0.88,65.0,Base_TC4,110000.0,0.39,4.47e-09,0.05146,3.80117,D_large_mid_safe,train
124,124,17.3,0.94,67.2,Base_TC4,110000.0,0.39,4.47e-09,0.05434,3.88439,D_large_mid_safe,train
125,125,11.0,0.67,44.1,Base_TC4,110000.0,0.39,4.47e-09,0.06091,4.00909,B_small_mid_moderate,train
126,126,9.8,0.98,31.8,Base_TC4,110000.0,0.39,4.47e-09,0.1,3.2449,A_small_strong,val
127,127,14.2,0.79,63.4,Base_TC4,110000.0,0.39,4.47e-09,0.05563,4.46479,C_mid_safe,train
128,128,19.9,1.04,86.1,Base_TC4,110000.0,0.39,4.47e-09,0.05226,4.32663,D_large_mid_safe,train
129,129,17.7,1.1,75.2,Base_TC4,110000.0,0.39,4.47e-09,0.06215,4.24859,E_large_thick_weak,train
130,130,13.3,0.99,50.0,Base_TC4,110000.0,0.39,4.47e-09,0.07444,3.7594,B_small_mid_moderate,train
131,131,7.1,0.88,31.1,Base_TC4,110000.0,0.39,4.47e-09,0.12394,4.38028,A_small_strong,train
132,132,15.9,0.95,67.6,Base_TC4,110000.0,0.39,4.47e-09,0.05975,4.25157,C_mid_safe,train
133,133,7.8,0.71,24.8,Base_TC4,110000.0,0.39,4.47e-09,0.09103,3.17949,A_small_strong,train
134,134,11.5,0.65,51.0,Base_TC4,110000.0,0.39,4.47e-09,0.05652,4.43478,B_small_mid_moderate,train
135,135,9.8,0.55,42.0,Base_TC4,110000.0,0.39,4.47e-09,0.05612,4.28571,A_small_strong,train
136,136,19.9,1.11,83.7,Base_TC4,110000.0,0.39,4.47e-09,0.05578,4.20603,E_large_thick_weak,train
137,137,6.2,0.74,17.7,Base_TC4,110000.0,0.39,4.47e-09,0.11935,2.85484,A_small_strong,train
138,138,19.3,1.38,74.0,Base_TC4,110000.0,0.39,4.47e-09,0.07150259067357512,3.8341968911917097,D_large_mid_safe,train
139,139,12.9,0.83,44.1,Base_TC4,110000.0,0.39,4.47e-09,0.06434,3.4186,B_small_mid_moderate,train
140,140,10.1,0.63,36.7,Base_TC4,110000.0,0.39,4.47e-09,0.06238,3.63366,B_small_mid_moderate,train
141,141,17.6,1.03,76.6,Base_TC4,110000.0,0.39,4.47e-09,0.05852,4.35227,D_large_mid_safe,train
142,142,11.9,0.76,39.3,Base_TC4,110000.0,0.39,4.47e-09,0.06387,3.30252,B_small_mid_moderate,train
143,143,14.0,0.88,49.7,Base_TC4,110000.0,0.39,4.47e-09,0.06286,3.55,B_small_mid_moderate,val
144,144,18.5,1.19,75.9,Base_TC4,110000.0,0.39,4.47e-09,0.06432,4.1027,E_large_thick_weak,train
145,145,16.9,0.8,59.7,Base_TC4,110000.0,0.39,4.47e-09,0.04734,3.53254,D_large_mid_safe,train
146,146,16.3,0.91,65.9,Base_TC4,110000.0,0.39,4.47e-09,0.05583,4.04294,D_large_mid_safe,train
147,147,11.8,0.59,53.0,Base_TC4,110000.0,0.39,4.47e-09,0.05,4.49153,B_small_mid_moderate,train
148,148,6.0,0.81,16.2,Base_TC4,110000.0,0.39,4.47e-09,0.135,2.7,A_small_strong,train
149,149,16.1,1.17,71.1,Base_TC4,110000.0,0.39,4.47e-09,0.07267,4.41615,E_large_thick_weak,val
